region,2025,2030,2035,2040,2045
USA,0.08714233738633652,-0.4506071774277429,-0.42912098038687063,-0.5164571780428048,-0.5904211666076087
CHN,-0.47663189136595796,-0.7670158103436082,-0.8574946728148956,-0.9506988033183394,-1.00728938569593
GBR,0.22860763202775736,-0.05236376189775446,-0.00607365191974249,-0.02804574977625822,-0.052382126689345415
JPN,-0.13935349403739655,-0.1358512797225177,-0.16257220294016012,-0.17993999315303866,-0.19030594526771347
IND,-0.8398822726419491,-1.617223334354477,-1.7711486357246407,-2.0222227693607664,-2.2046329384501173
CAN,0.13209312822138922,-0.1125978783581471,-0.08511630400017892,-0.11290971335680104,-0.13934010556565574
NOR,0.025866254382348165,0.12862093345323478,0.13265848752020606,0.15484187997034404,0.17229835093180015
IDN,-0.7039872997138378,-1.2741070498655458,-1.4046240403900274,-1.59078076311377,-1.7209395090804542
CHL,-0.20407479008003018,-0.33094861540626574,-0.47618120098898054,-0.5004047745176323,-0.5176462746041016
AUS,0.025222750429187764,0.02330006274604354,0.028148000268498594,0.031055236372068407,0.03273786743874976
SGP,-0.17989356111592708,-0.26382538012238854,-0.2999728850098484,-0.30895708637207175,-0.3023479705686399
TUR,-0.413335030552005,-1.1221355072887895,-1.194977643938941,-1.3783579771595003,-1.5171333050262803
KOR,-0.17478963426657404,-0.09178923198786981,-0.12913871832367896,-0.09846902828189691,-0.0569749712462681
KAZ,-0.2710387086306612,-0.42272529432769956,-0.43928973625246964,-0.5400699293188581,-0.555137809718152
